Name,Text,Pic,Birth Date,兄弟,子,URL
大中臣時実,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F大中臣時実
藤原基村,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原基村
大中臣成綱,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F大中臣成綱
藤原成頼,"1136－1202　平安後期-鎌倉時代の公卿(くぎょう)。保延(ほうえん)2年生まれ。葉室顕頼(あきより)の3男。母は藤原俊忠の娘。仁安(にんあん)元年(1166)参議,2年正三位となる。修理大夫(だいぶ)を兼任。承安(じょうあん)4年(1174)兄葉室光頼(みつより)の一周忌に出家,高野山にはいり高野宰相入道とよばれた。兄の4男葉室宗頼の養父。建仁(けんにん)2年閏(うるう)10月死去。67歳。",,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原成頼
藤原幸国,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原幸国
藤原高重,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原高重
藤原家国,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原家国
藤原敦宗,"1042－1111　平安時代後期の官吏,漢詩人。長久3年生まれ。藤原実政(さねまさ)の長男。文章博士(もんじょうはかせ),左少弁などに任じられたが,寛治(かんじ)2年(1088)父の流罪に連座して解官された。のち赦免され,大学頭(かみ),東宮学士,式部権大輔(ごんのたいふ),丹波守(かみ)などを歴任,正四位下となる。詩文は「本朝続文粋(もんずい)」などにある。天永2年9月16日死去。70歳。",,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原敦宗
藤原顕成,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原顕成
藤原隆良,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原隆良
中原定親,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F中原定親
大中臣実村,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F大中臣実村
藤原頼信,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原頼信
藤原頼行,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原頼行
藤原光俊,"1203－1276　鎌倉時代の公家,歌人。建仁(けんにん)3年生まれ。藤原光親の子。順徳天皇に近侍し,承久(じょうきゅう)の乱で筑紫(つくし)に配流。嘉禎(かてい)元年(1235)右大弁となるが,翌年出家した。将軍宗尊(むねたか)親王の歌道師範。反御子左(みこひだり)派として活躍し,「続古今和歌集」撰者のひとりとなる。歌論書に「簸河上(ひのかわかみ)」。勅撰集に100首がはいっている。建治(けんじ)2年6月9日死去。74歳。法名は真観。通称は弁入道。",,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原光俊
藤原親秀,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原親秀
和気伊成,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F和気伊成
藤原資忠,,,,,,https://w3id.org/hi/snorql/?describe=https%3A%2F%2Fw3id.org%2Fhi%2Fapi%2Fentity%2Fchname%2F藤原資忠
